구   분		2010년	2011년	2012년	2013년	2014년	2015년	2016년	2017년	2018년	2019년	2020년	2021년	2022년(7월)
계		2981400	2977599	2969184	2973877	3013541	3056588	3083007	3116256	3124651	3124157	3157361	3176743	3189670
CNG		9129	9843	10275	10426	10360	9992	9854	9731	9635	9441	9114	8887	8506
LNG		1	1	2	1	0	0	0	0	0	0	0	0	1
경유		862564	874928	899652	937639	996622	1066199	1107727	1135239	1147787	1121920	1108287	1084741	1070776
기타연료		3859	3626	3393	3429	3780	4333	4751	5228	5604	5848	6305	7035	7289
수소							1	12	13	84	599	1671	2445	2702
알코올		0	0	0	0	0	0	0	0	0	0	0	0	1
엘피지		438967	417845	396997	378910	359652	338455	317469	301546	284328	271977	258444	245041	238838
전기		52	103	205	475	785	1151	1498	4797	9564	14952	23393	40564	49590
태양열		1	3	4	4	2	2	2	1	0	0	0	0	0
하이브리드	소  계	4644	9328	15930	20778	27402	33927	44875	59431	75178	91505	115280	141889	158671
	CNG+전기	0	0	7	7	17	30	51	51	51	51	51	51	51
	LPG+전기	2259	2678	2803	2741	2422	2250	2121	2095	1940	1909	1812	1647	1545
	경유+전기	0	1	1	5	26	25	23	26	30	87	950	2171	3063
	휘발유+전기	2385	6649	13119	18025	24937	31622	42680	57259	73157	89458	112467	138020	154012
휘발유	소  계	1662182	1661922	1642726	1622215	1614938	1602528	1596819	1600270	1592471	1607915	1634867	1646141	1653296
	휘발유	692388	709899	707687	703842	701571	697052	697655	698487	687836	678696	675582	669609	662613
	무연	969747	951972	934986	918324	913319	905428	898147	900619	903487	928121	958188	975470	989644
	유연	47	51	53	49	48	48	1017	1164	1148	1098	1097	1062	1039
